specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,DatePhotographed,SpecimenID,CurrentSp,Sex,Region,Longitude,Latitude,Extent.km,Certainty
NHMUK.34.7.18.89.peninsulae.CRANIUM.DORSAL,-0.01061152686740053,-0.0028759173301721916,0.010226884102221568,0.006535301316400593,0.0077192432598091046,-0.01820818310246385,0.013788620489280125,0.0012330294258656434,0.00999787465188642,-9.714439782085789e-4,0.0032898801836783245,0.006903140020378371,-0.005891085924099391,-0.0010828812014845653,-0.005414862509232864,0.004583792246763423,-0.0013629345531588296,-0.001975728357298449,3.651136809369588e-4,9.796069206754777e-4,-0.004940314451646963,-0.0010514821531562473,-0.00281091838296186,-4.874356825257454e-4,0.0028399074680423176,0.0013635946476327609,-0.0020414188874994235,-0.0010464487055507653,-0.0013675663508509394,0.003180976733531914,-0.0011273645582227172,-7.525783175503926e-4,4.650297864399082e-4,6.318438950225706e-4,0.0013579473297416524,0.0015993181634371292,-3.404646008483656e-4,1.4720978789996107e-4,9.29093499184297e-17,-1.8756697583999227e-17,4.049495114233359e-17,1.702197410802242e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.55.1431.peninsulae.CRANIUM.DORSAL,0.034594621302324005,-0.023552540966546978,6.460319369429263e-4,-0.00623611506315053,-0.004181403370019857,-0.011925549514646971,0.006219705733640095,0.0028358408094850945,-0.003115768164554247,-0.004682218236932236,0.005474033451154794,0.003192292331442723,-3.463980985875914e-4,0.0014925813188338627,1.5649666192018094e-5,-9.5326357122294e-4,3.5338058078325464e-4,-0.0032147267169667726,0.0043185502305858785,0.0010321197565074723,-0.0029720540580164684,-0.0033333812902338325,0.0012685450869218853,-0.0024518569471318574,0.0019116440908118876,-0.0023624078380039305,0.0015297576367728433,0.0027316822911453466,0.0021471728408242047,0.00102623950823392,-2.2615356090939314e-5,0.001206446293709894,5.544834234576245e-4,-1.9876476790582566e-4,-1.7570185859035377e-4,-5.051359339747429e-4,-9.120217136326049e-4,-1.7609375703397134e-4,3.781155076543197e-18,5.5185890579512176e-17,3.06287113727155e-17,-6.830473686658678e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.55.1433.peninsulae.CRANIUM.DORSAL,0.008244899318068283,-0.030863102494149527,-0.01099290896295968,0.006460727206559173,-0.010011402852361786,-0.006304678121531555,0.006024399687554845,-0.008362799994582053,-0.00730598116978454,0.00682443287146876,-0.008528742626139571,0.002955435571673872,-0.008055841647783047,0.0034226198964772097,-4.5496042704623574e-4,-0.005589844232189068,-0.00810556251911875,-0.0030253140561879517,-0.004052081124991007,0.007423813816153798,0.001934034234196428,-4.456250530507118e-4,6.838778252307514e-4,8.579684370994601e-4,-0.001643531998685078,-0.0016050659279827602,0.0013831091565810205,-8.052128315942044e-4,-0.002057589060319583,7.971609623670266e-4,-3.691903843544637e-4,6.070929570092555e-4,9.209906542497804e-4,3.27975974856646e-4,1.5570926043127894e-4,-6.028002414828937e-4,1.745447643386572e-5,-1.5949500418989862e-4,1.4054309474022253e-16,1.7035526635178488e-17,-3.869246503057644e-18,7.589415207398531e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.55.1436.peninsulae.CRANIUM.DORSAL,-0.004415187710898057,0.0019192810749035592,0.020035137599316532,0.004808080960250842,-0.018765766858794827,0.02057124956470642,-4.932135040858612e-4,-0.012260981351216104,0.005585206924493863,-0.0014439651705752073,0.003862565862911412,-0.003697519534426848,0.0030853496461468056,0.005764078663157872,-8.872459703601492e-4,0.001586851657979369,0.006666305066272494,-0.0030546256941636424,-0.0021279675113195437,0.0022854172153563743,0.006838995740846787,0.0028054277664904628,-0.001291368681493438,-0.00081625362619132055,2.4588435317133878e-5,7.132529355012287e-4,0.001572486303729618,3.9938622573584516e-4,0.0025089363876291976,-8.923063180941932e-4,4.2594953264854036e-5,-0.0016344942391810606,0.0013280821869839493,1.9091999812758975e-4,-7.549098339067675e-5,5.992783259908604e-4,-5.222511149509111e-4,4.4388428306814897e-5,4.07524491582989e-17,2.4801124695605914e-17,-6.572975670693371e-18,-7.697835424647081e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.79.11.21.240.peninsulae.CRANIUM.DORSAL,-0.006905526429672125,0.008523843968653796,-0.012336279848236023,-0.006007673313244689,0.005241745193887459,0.0015456957416493387,0.010683640107304979,-0.0017540169336877215,0.0017155161303955924,0.009113062393818261,-0.008864881221729648,0.003025092838998571,-0.0025162182662321893,0.0015285943489504186,0.00514459990308934,-0.004065826154335774,0.002466878398562063,1.984827614554873e-4,0.0035890830663876864,0.0027480757240044636,3.6383818533622267e-4,0.0038194379058935956,0.002015137885850892,0.005302018884470613,1.4851327999202367e-5,-5.987291311412237e-4,0.0010970388745737043,-3.446076989032455e-4,-0.0014022999540048253,-6.47350285280862e-4,0.0015166375101457609,-0.0016058366648826132,1.2077081501034897e-4,-6.439246078773029e-4,0.0011052496264379581,-0.0011270123439488609,6.270641307274516e-4,-3.532671541311913e-4,-7.560277274012983e-17,4.347650711666873e-17,5.5321415851072864e-17,-2.2768245622195593e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.98.1.7.4.peninsulae.CRANIUM.DORSAL,-0.0286255678698366,-0.002422734741859083,-0.011909807240249664,-0.011456966547619152,0.0016377519650099851,0.00857981851960019,0.0056498659278373,-0.015146208061360475,-0.015266124271344779,0.00450188675648919,0.019396518984615457,-0.004075439221690107,-0.006627641096960363,0.00845611907148428,0.013222929548987837,0.01686835464079278,5.727372750575622e-4,0.004226641563074944,0.004391263885568307,0.001965648186578263,-0.002728217844207989,0.0033785683906843392,0.0015753978672371895,2.498453450350423e-4,-7.186990957226994e-4,2.2249786918202138e-4,0.0016285660139471745,3.164510905779897e-4,-0.0012284409631751758,0.0012623293959314788,-5.556378769504056e-4,-4.984084469975394e-4,4.1022155530347833e-4,-9.839227047879072e-4,-2.7023087487205825e-4,-1.002444022656987e-4,-4.1795174381206756e-4,1.6818115578859884e-4,-3.729655473350135e-17,4.228388472693467e-18,4.7813315806610746e-17,3.7947076036992655e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.98.8.3.1.peninsulae.CRANIUM.DORSAL,-0.010005245582955364,-0.009312897590615413,-0.007773664133562999,2.2495494672037644e-4,-0.0031301963874835895,-3.364008864283866e-4,-9.985595498617904e-4,-0.0036449605671219653,0.005506412403526766,-0.005436126542802299,2.8599927834227934e-4,0.004227058567074571,0.0029472059420396694,-0.01580180804899631,0.0050071188902561774,0.005372171640865358,-0.0035478732591984127,-0.0029514373062172325,0.0062525785762913505,-0.004073856760655715,-0.0022179986163328195,0.003419011177063904,0.002678054028912011,-0.00396388447692009,-0.0020239261075924685,3.456723276097269e-4,-0.002707236157384061,-0.001433633316155427,-7.840977109118233e-4,-0.0014046191314517709,4.7758495094725294e-4,0.002055065828543624,7.747609885734499e-4,0.0011931958076082261,0.0013176450828594724,-4.758449549456221e-4,-1.8123170333773396e-4,-1.1034386574577568e-4,-2.1480755542369057e-18,5.1662233518934286e-17,-1.6127507315721878e-18,-6.396792817664476e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.0.2.2.6.Borneanus.CRANIUM.DORSAL,-3.462148555282331e-4,-0.023271098762331122,-0.002250174978946578,0.0066190154028403685,0.0033913936362860923,-0.01768610225275096,-0.019537325486596358,0.009576053287916664,0.02032867905632858,-0.0011435234638431397,0.004771365939331692,2.1813303645288048e-4,-0.0010149182198081693,0.0063734145251359,0.0031006401125247174,-0.005353825494817946,-0.0031202769824500948,-0.003575062988176143,0.0049795960149043965,-0.001377950201612234,0.002297849521091343,-6.684892392013922e-4,0.0043075855945015696,-0.005041651711985865,-5.330164125584174e-4,0.0010498649933022694,0.003023361528743385,3.147373678642328e-5,4.100073766736135e-4,0.002117460635043662,9.068073081629937e-4,-9.68622423773383e-4,1.843853513989235e-5,-8.766886662494081e-4,-5.18987340941051e-4,1.0256896657944844e-4,0.0011355180479448058,2.2231297699392127e-4,-8.283304597789254e-17,4.466912950640278e-17,1.6317242695906842e-17,-5.421010862427522e-18,19/03/2021,0.2.2.6,variegatus,Male,Borneo,3.333439,114.151928,5,100
NHMUK.0.3.30.4.Borneanus.CRANIUM.DORSAL,0.022104214534492676,-0.00487170689356047,-0.014941027738915138,0.01567121346687471,0.02414191488699788,6.794431684898647e-5,-0.004638988902167484,-0.013023123892197211,0.002953099087585637,-0.013024591820485619,-0.0034307107154042888,0.0033073335604894777,-8.43460701109814e-4,0.003909061413794845,0.004069948722200039,-0.004206304043314625,0.007212541929516459,-0.003191081165417851,0.007383431606480656,-0.0036658416209823376,0.0036912181940311475,-3.2102594489441527e-4,-0.001226877987665561,0.0038209724965621154,0.0019517920024702924,-9.631368566982541e-4,-0.002619092951561001,-3.104611223862565e-4,2.4330296048663883e-4,-9.507615914401376e-4,-7.59474272714138e-4,-3.0098959644455123e-4,0.001546150889184943,3.437905410993699e-4,-8.450267753775883e-4,-0.0014277893326836754,6.497766569020183e-4,1.1524648573175658e-4,-1.6273196982649618e-17,-4.279888075886529e-17,-1.8987090545652396e-17,-1.3037531124138191e-17,19/03/2021,0.3.30.4,variegatus,NIL,Borneo,3.670523,114.442385,115,75
NHMUK.0.8.4.4.Borneanus.CRANIUM.DORSAL,-0.014523314939236894,-0.01732007528076646,-0.025328004296545352,0.011091208871709004,0.018161950900390585,-0.0027134215022272083,-0.0037712890099204136,0.004211736281481248,0.0015640477621633323,-0.004757366438641934,0.006658179980039467,0.0021518104462448307,-0.008890345703866463,0.0018106673865483129,-0.005100674429131436,0.0018659337267889443,9.540246665573453e-4,0.001161743213456589,-0.0024917946857393,-5.804009858748408e-4,0.006096923442248383,1.5810125570150517e-4,2.1595649471953257e-4,-4.0239214508661027e-4,-3.11881475741813e-4,0.0034014799037003145,-0.0015677360595736406,0.0018183805906065522,-5.105719706434871e-4,-8.031824512043347e-4,-0.0019821225962965085,0.0018722161039423566,5.518091040929321e-4,2.045789657138532e-4,-0.0013463565101491698,1.220668322741534e-4,-9.97948367855098e-6,-5.116184601236719e-4,4.119968255444917e-18,-2.3689817468808272e-17,7.684282897491013e-17,5.963111948670274e-19,19/03/2021,0.8.4.4,variegatus,Male,Borneo,3.670523,114.442385,115,75
NHMUK.8.1.25.25.Aoris.CRANIUM.DORSAL,0.008585227025637944,0.01592103571956147,-0.028123370035919606,0.00649296333752867,-0.0023098694064856333,-0.0016772994226163824,0.0069118231075104555,-7.623829308934858e-4,-1.3131611262163739e-4,0.012366226079547135,-0.0012082622628852915,0.0076746415753837964,0.005662484387734459,-0.006840897125207536,-0.0033362449213033755,-0.0020609409882331644,0.003844933810847628,0.001023811823718844,0.004748128803264488,-0.0031160669670435826,-7.247819661369382e-4,-0.0021148077011545353,5.441480097664242e-4,-0.004505196304676744,0.0021220772348188375,-0.002577117446817221,-0.001985030521772976,-0.004546412043279032,3.733775850402601e-4,0.0013038531269651155,7.65734562205308e-4,-3.5252884132367106e-4,-4.079360396256023e-4,-0.0012411912321002166,-5.72471219605801e-4,5.109378915593146e-4,-3.159425793897905e-4,-2.7017645632913454e-4,-1.8851565274091708e-17,7.047314121155779e-18,3.7947076036992655e-18,-5.204170427930421e-18,19/03/2021,8.1.25.25,variegatus,Female,Peninsular SEA,2.448942,104.520053,2.63,100
NHMUK.8.1.25.26.Aoris.CRANIUM.DORSAL,-0.00972162813534433,0.02263944308054027,-0.017204506142469708,-3.945652142684849e-4,-0.007554897482859599,0.005285555599046524,-0.007280341411612561,0.005128369023314988,-0.006999686543305382,-0.00207933024417014,-0.006424508271534192,-0.0054754405847323535,-0.0014976736999085213,-0.004846951821106814,0.0024411246393840932,0.0015391125880127921,5.086789042424187e-4,3.051517400958319e-4,0.003961443765409954,-0.004974051761297917,-0.0022322202475984136,0.001345889726108745,1.102762488822179e-5,-3.8504550573853166e-4,-7.78767936674295e-4,-0.004356142421267028,0.0050530841928809805,-5.877142038202131e-4,2.0609439645885816e-4,0.0014458501048413613,0.0014180677488485715,3.107147418307981e-4,-1.5954010377089756e-4,2.572559005363379e-4,-6.457143330387825e-4,-2.665769642802272e-4,-2.95198554940103e-4,-7.706713138205938e-4,3.570243872676876e-17,-1.026807219979553e-16,4.3151246464923076e-17,-1.3430554411664186e-17,19/03/2021,8.1.25.26,variegatus,Male,Peninsular SEA,2.448942,104.520053,2.63,100
NHMUK.8.7.17.6.Borneanus.CRANIUM.DORSAL,0.001423494635210352,-0.011373107360322206,-0.023441458121738857,-0.006245261188313498,0.0043855306674447925,-0.0016834767906503943,-0.014854390098515483,0.007348466835611655,4.6135176249263244e-4,-0.004089730224336537,-6.357079779585872e-4,-0.003400604691998403,0.0017806893517748321,1.4229253622431668e-4,0.006494534181738108,-0.009739192432766584,-0.004133943900618617,-0.003471452218245209,-0.003005151673322181,-0.0028222054235554363,-0.001436068462510449,-9.678215487108995e-4,-0.0011095805775929693,-0.0019034097160450256,0.0020046290947452593,0.001833478613138266,0.003414820116274162,4.3427215670314696e-4,-6.235847336614352e-4,-0.0020398544174604644,-0.0015427029908302362,-3.8819971659805714e-4,-0.0021371822044659655,4.839877513175744e-4,4.470557065838867e-4,5.362648075907368e-5,-0.0011662706084312724,4.69376617497924e-4,-1.2047519015387365e-16,-6.396792817664476e-18,1.4501204056993622e-17,7.047314121155779e-18,19/03/2021,8.7.17.6,variegatus,NIL,Borneo,5.304512762,116.9350579,253,75
NHMUK.9.11.1.10.Pumilus.CRANIUM.DORSAL,-0.008909613302120582,-0.006748635957886283,-0.0084978750245528,0.013652237156455697,0.003728438229007816,0.001127758676351452,-0.003802621233632169,-0.001444497591844634,0.0033918395862318367,0.012895207237525365,-0.0027560106963312896,0.004903589448987222,0.0037027309165321306,-3.2888190745028635e-4,0.009026735324956877,-0.0026466783065264904,2.164102081325581e-4,0.0017715284504804772,0.004058952954074568,-7.744833066402856e-4,-0.0030761151012927827,-0.0014736556156042472,-0.0032818485991712304,3.725024442906637e-4,-1.873649300005543e-5,0.0028832491681978294,-6.0106706275133115e-6,1.946365087201206e-4,0.0014164665647245084,-4.5619226870384695e-4,0.002613689580655123,-0.0013375701712308192,7.757207303629036e-5,0.002009740478515983,-1.1317705485605815e-4,4.4711922533318814e-4,-8.410018265907654e-5,2.3152068680764803e-4,7.392903563635533e-17,5.702903427273753e-17,4.2792104495287253e-17,3.984442983884229e-18,19/03/2021,9.11.1.10,variegatus,Male,Riau Archipelago,6.239468,99.810481,6.96,100
NHMUK.50.10.24.7.Borneanus.CRANIUM.DORSAL,-0.0025832961961589187,-9.840777901192349e-4,-0.00779085298681521,0.008630204765554218,-0.021168068784980953,0.014564489508705496,-0.009851902516446666,0.016369238232439003,-0.009024588126831962,0.003115086237103238,-5.524517277445024e-4,-0.012678955166525225,8.422575572210472e-4,-0.007239705454271409,-0.00256308258640842,-0.001893741296320388,-0.0031377304216831745,0.00775157189733574,-0.0021798734247401664,-0.003987244918914373,-3.6387913976506227e-4,-2.6875697127314724e-4,0.003287302389072717,0.001964374472345825,0.002434928237361672,-0.001233866005509623,-1.3622611928671986e-4,3.1775496586591455e-5,0.0020093878524620533,-2.3722685462379203e-4,-0.0013439308165880746,0.001281652306289517,-1.2157546320838403e-4,6.867516938832412e-4,3.723119479701736e-4,3.299728667066269e-4,1.0537014496625054e-4,-4.369986854362454e-4,7.839459333428e-17,7.53791560420547e-17,-2.6834003769016235e-18,-1.6263032587282567e-18,19/03/2021,50.10.24.7,variegatus,NIL,Borneo,2.462345332,113.2457313,325,75
NHMUK.51.183.Natunae.CRANIUM.DORSAL,0.023635624875779176,-0.03443150007012698,-0.015526978091857796,0.003579228364739693,-0.0067444004277339995,-0.0027225247809419643,-0.0074696929773416625,-0.010096716967986382,-0.005103249529596769,-0.013667713937932974,0.0010527744253431943,-5.233097647394048e-4,-2.219271791453879e-4,-0.002232966268567932,-9.164611170547001e-4,0.006694938143866279,0.0033041130461407124,-7.232278959794547e-4,0.0038506106885854434,5.946559574754422e-5,-0.0010345409872925617,1.707295262534473e-4,-0.003141822717576811,0.0015615033897181771,-1.5054391710633407e-4,9.209042826902972e-4,2.3422650153635761e-4,4.2496115032585806e-4,0.0041352090038179355,-6.449437137845618e-5,0.0020955034092545385,-4.2705790099503693e-4,2.602238619343337e-4,-4.274723749889812e-4,-9.544443272973593e-6,0.002000489050590995,-2.1705734717057676e-4,-1.7852571439786065e-4,9.76484992583175e-17,3.581255300991182e-17,-5.202476362035913e-18,5.95633568509224e-18,19/03/2021,51.183,variegatus,Male,Borneo,2.468095081,114.4048301,100,75
NHMUK.55.1430.peninsulae.CRANIUM.DORSAL,-0.005012336149424698,-0.010988417270471774,-2.8577099486517545e-4,-0.007374571096091162,0.007377532612757944,-0.001057193678237245,-0.008943457349487757,0.005936817821075731,-0.008100968062988424,0.006097359840508078,7.426689846757478e-4,-0.003740303141975861,-0.015365704211024683,8.616945451835002e-4,0.009936645893109086,3.2502215131263344e-4,0.0061165758738874225,6.335517652084246e-4,-0.0019288708440365785,0.0065099877257881805,0.0031850962765233195,0.0034927582568605063,-0.0014877402793582733,-0.0025091756244429958,0.0017903190129021512,0.002458406789445957,2.782126889288751e-4,-0.003286013704578864,-7.745353648000341e-4,0.001747338787313488,7.486724928432654e-4,0.0018002034077836675,-0.0024773901002269278,7.065062000728833e-4,-5.793451178190501e-4,2.225869506532504e-5,1.993012662395908e-4,-2.3367206985117436e-4,5.858418676389643e-17,3.0222135558033436e-17,-1.9095510762900947e-17,-6.938893903907228e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHMUK.55.1444.Aoris.CRANIUM.DORSAL,0.011373666856695115,0.008983930390352392,-0.0024125570104508052,0.017412841701119647,-0.017819367222780602,-0.0076834610685264995,-0.0028982562976502214,8.799724337281102e-4,0.008564413877386627,0.0013246493137737856,0.006694317712208417,-0.0014676760225270675,-0.0023854294611239273,-0.004074514197728003,-0.0066293197405378895,0.001339813422935503,0.002637749014304919,0.0017516499220595859,-0.0010804813979759008,-0.004505034144542811,-0.0014369708015812008,0.006962653803536845,-0.005610365943596316,-3.0537683446980124e-5,0.001183089042074434,0.002776702189469283,-8.855701050874815e-5,0.0024304377632289923,-0.005178838197316108,8.373133788054353e-4,-5.380148919487332e-4,-0.0010318614164310917,-0.0011515774360963318,-4.980703674673294e-4,4.185175721540688e-4,-2.895727097449373e-4,-8.941470889558768e-4,-7.524069239242788e-4,2.89346454782069e-17,-3.176712365382528e-17,2.3310346708438345e-18,-1.8431436932253575e-17,19/03/2021,55.1444,variegatus,Male,Peninsular SEA,2.448942,104.520053,2.63,100
NHMUK.55.1445.Aoris.CRANIUM.DORSAL,0.006582373150855651,0.0288035416384049,-0.015024073672189869,0.006497188741906521,-0.004586335731033963,-0.020830213788790207,-0.008178870989383346,0.009221270344071419,0.0062234317111999156,-0.004055872031393363,-0.0010211132799601004,0.003712075166327415,-0.0020647683209603193,0.0026936909903353167,-0.004025907982707905,0.0074200460352975076,0.007160949270944837,0.006252803385547224,0.002978922078536667,0.008290172549451313,-0.001085095724499315,-0.005186223118391367,-0.004495317331281425,0.0028561302399973286,-7.23807937503808e-4,-0.00131670724464184,0.003072364066166754,-6.95413481335426e-4,-0.0013502659106815241,-0.0012335405921716973,-9.331942426312476e-4,-6.058809230455105e-4,1.9120634585200862e-4,7.237613624564903e-4,2.830132316323719e-5,0.001158541517933953,3.851851808645676e-4,-1.4197631861314068e-4,-4.9785208507818757e-17,6.326319676452918e-17,3.475545589173845e-17,-9.215718466126788e-18,19/03/2021,55.1445,variegatus,Male,Peninsular SEA,2.448942,104.520053,2.63,100
NHMUK.55.1446.Aoris.CRANIUM.DORSAL,-0.002337475822302256,0.0382670166986036,-0.0081736112026663,-0.009976483621950734,-0.0015426143241388998,-0.012380770176035831,-0.0074127056591107975,-0.009899752983474102,0.004919235995169104,-0.004106573490696902,0.009952450286291586,-4.579957912761324e-4,-0.0012387827435400127,-0.004790097467549689,-0.0035940024622608197,-0.0027927391702226244,0.0021968005306616106,2.6068040164925076e-4,-0.0025749842548275473,0.002350125348789342,-0.0022214091843830693,3.8807648165121436e-4,0.004636709997656579,0.0027217292323128053,-0.006132405701497161,4.794954464406422e-4,0.002137265545052706,-0.0017087342220545086,4.8696471034193306e-4,-8.068427255662912e-5,0.002023598235460913,3.084260025304421e-5,0.0018075691511123717,1.548843805604848e-4,9.031420253408521e-5,-9.465583009878068e-4,-5.769826907345705e-4,5.173713524948847e-4,5.443372532235036e-17,-6.2341624917916505e-19,3.16925847544669e-17,1.1384122811097797e-18,19/03/2021,55.1446,variegatus,Female,Peninsular SEA,2.448942,104.520053,2.63,100
